add-yield-none,8,10000,160000,344990,2,0
add-yield-none,8,100000,1600000,318879,0,0
add-yield-none,12,10,240,402868,1678,0
add-yield-none,12,20,480,428105,891,0
add-yield-none,12,40,960,1051431,1095,0
add-yield-none,12,80,1920,782129,407,0
add-yield-none,12,100,2400,421528,175,0
add-yield-none,12,1000,24000,402755,16,0
add-yield-none,12,10000,240000,408835,1,0
add-yield-none,12,100000,2400000,399995,0,0
add-m,1,10,20,137244,6862,0
add-m,1,20,40,154673,3866,0
add-m,1,40,80,213139,2664,0
add-m,1,80,160,182841,1142,0
add-m,1,100,200,165093,825,0
add-m,1,1000,2000,213673,106,0
add-m,1,10000,20000,796641,39,0
add-m,2,10,40,163756,4093,0
add-m,2,20,80,169980,2124,0
add-m,2,40,160,170834,1067,0
add-m,2,80,320,170478,532,0
add-m,2,100,400,217862,544,0
add-m,2,1000,4000,580939,145,0
add-m,2,10000,40000,3690192,92,0
add-m,4,10,80,225395,2817,0
add-m,4,20,160,164051,1025,0
add-m,4,40,320,233973,731,0
add-m,4,80,640,217518,339,0
add-m,4,100,800,226759,283,0
add-m,4,1000,8000,1021572,127,0
add-m,4,10000,80000,11254046,140,0
add-m,8,10,160,343179,2144,0
add-m,8,20,320,354049,1106,0
add-m,8,40,640,328106,512,0
add-m,8,80,1280,360507,281,0
add-m,8,100,1600,334396,208,0
add-m,8,1000,16000,2525543,157,0
add-m,8,10000,160000,23117177,144,0
add-m,12,10,240,477373,1989,0
add-m,12,20,480,467954,974,0
add-m,12,40,960,443212,461,0
add-m,12,80,1920,405719,211,0
add-m,12,100,2400,424215,176,0
add-m,12,1000,24000,3364585,140,0
add-m,12,10000,240000,34422114,143,0
add-s,1,10,20,150226,7511,0
add-s,1,20,40,179603,4490,0
add-s,1,40,80,179051,2238,0
add-s,1,80,160,145895,911,0
add-s,1,100,200,150493,752,0
add-s,1,1000,2000,187249,93,0
add-s,2,10,40,155592,3889,0
add-s,2,20,80,154538,1931,0
add-s,2,40,160,166676,1041,0
add-s,2,80,320,155914,487,0
add-s,2,100,400,152213,380,0
add-s,2,1000,4000,574474,143,0
add-s,4,10,80,210279,2628,0
add-s,4,20,160,191316,1195,0
add-s,4,40,320,214359,669,0
add-s,4,80,640,215205,336,0
add-s,4,100,800,215606,269,0
add-s,4,1000,8000,1473703,184,0
add-s,8,10,160,333216,2082,0
add-s,8,20,320,345230,1078,0
add-s,8,40,640,328097,512,0
add-s,8,80,1280,300405,234,0
add-s,8,100,1600,353999,221,0
add-s,8,1000,16000,5129718,320,0
add-s,12,10,240,497741,2073,0
add-s,12,20,480,459952,958,0
add-s,12,40,960,407570,424,0
add-s,12,80,1920,396681,206,0
add-s,12,100,2400,635688,264,0
add-s,12,1000,24000,10310550,429,0
add-c,1,10,20,206363,10318,0
add-c,1,20,40,161683,4042,0
add-c,1,40,80,171804,2147,0
add-c,1,80,160,166846,1042,0
add-c,1,100,200,168073,840,0
add-c,1,1000,2000,188238,94,0
add-c,1,10000,20000,486096,24,0
add-c,2,10,40,178214,4455,0
add-c,2,20,80,154693,1933,0
add-c,2,40,160,179167,1119,0
add-c,2,80,320,153174,478,0
add-c,2,100,400,187159,467,0
add-c,2,1000,4000,291460,72,0
add-c,2,10000,40000,1961399,49,0
add-c,4,10,80,202671,2533,0
add-c,4,20,160,183823,1148,0
add-c,4,40,320,199746,624,0
add-c,4,80,640,176181,275,0
add-c,4,100,800,179418,224,0
add-c,4,1000,8000,570688,71,-1
add-c,4,10000,80000,6225958,77,-3
add-c,8,10,160,355278,2220,0
add-c,8,20,320,296761,927,0
add-c,8,40,640,344841,538,0
add-c,8,80,1280,312050,243,0
